# days & GHz & name & mJy & mJy
dt   & freq   & instrument & flux & e_flux
11.7 & 150    & SCUBA      & 39   & 11
3    & 4.9    & VLA        & 9    & -99
4    & 4.9    & VLA        & 9.9  & -99
9.9  & 4.9    & VLA        & 39   & -99
11.7 & 4.9    & VLA        & 44.6 & -99
14.6 & 4.9    & VLA        & 39.9 & -99
15.7 & 4.9    & VLA        & 37.4 & -99
16.5 & 4.9    & VLA        & 37.1 & -99
17.8 & 4.9    & VLA        & 32.6 & -99
19.7 & 4.9    & VLA        & 28.6 & -99
21.6 & 4.9    & VLA        & 24.3 & -99
23.6 & 4.9    & VLA        & 24.7 & -99
25.9 & 4.9    & VLA        & 27.6 & -99
26.8 & 4.9    & VLA        & 29.5 & -99
28.8 & 4.9    & VLA        & 30.0 & -99
30.0 & 4.9    & VLA        & 30.0 & -99
32.9 & 4.9    & VLA        & 30.3 & -99
34.7 & 4.9    & VLA        & 28.6 & -99
36.8 & 4.9    & VLA        & 27.0 & -99
38.8 & 4.9    & VLA        & 24.6 & -99
40.0 & 4.9    & VLA        & 24.1 & -99
45.7 & 4.9    & VLA        & 20.7 & -99
51.7 & 4.9    & VLA        & 16.3 & -99
57.7 & 4.9    & VLA        & 14.0 & -99
64.7 & 4.9    & VLA        & 11.4 & -99
67.7 & 4.9    & VLA        & 11.1 & -99
80.5 & 4.9    & VLA        & 6.3  & -99
3    & 8.64   & VLA        & 13   & -99
4    & 8.64   & VLA        & 13   & -99
9.9  & 8.64   & VLA        & 48   & -99
11.7 & 8.64   & VLA        & 49.4 & -99
14.6 & 8.64   & VLA        & 37.6 & -99
15.7 & 8.64   & VLA        & 34.3 & -99
16.5 & 8.64   & VLA        & 31.4 & -99
17.8 & 8.64   & VLA        & 26.2 & -99
19.7 & 8.64   & VLA        & 21.6 & -99
21.6 & 8.64   & VLA        & 18.8 & -99
23.6 & 8.64   & VLA        & 17.6 & -99
25.9 & 8.64   & VLA        & 20.9 & -99
26.8 & 8.64   & VLA        & 21.7 & -99
28.8 & 8.64   & VLA        & 22.0 & -99
30.0 & 8.64   & VLA        & 22.1 & -99
32.9 & 8.64   & VLA        & 21.3 & -99
34.7 & 8.64   & VLA        & 20.2 & -99
36.8 & 8.64   & VLA        & 18.4 & -99
38.8 & 8.64   & VLA        & 16.1 & -99
40.0 & 8.64   & VLA        & 16.6 & -99
45.7 & 8.64   & VLA        & 13.2 & -99
51.7 & 8.64   & VLA        & 10.5 & -99
57.7 & 8.64   & VLA        & 8.1  & -99
64.7 & 8.64   & VLA        & 7.7  & -99
67.7 & 8.64   & VLA        & 7.2  & -99
80.5 & 8.64   & VLA        & 4.1  & -99
11.7 & 1.38   & VLA        & 6.2  & -99
14.6 & 1.38   & VLA        & 7.7  & -99
15.7 & 1.38   & VLA        & 9.2  & -99
16.5 & 1.38   & VLA        & 8.9  & -99
17.8 & 1.38   & VLA        & 11.0 & -99
19.7 & 1.38   & VLA        & 12.1 & -99
21.6 & 1.38   & VLA        & 12.7 & -99
23.6 & 1.38   & VLA        & 11.8 & -99
25.9 & 1.38   & VLA        & 16.7 & -99
26.8 & 1.38   & VLA        & 15.8 & -99
28.8 & 1.38   & VLA        & 19.6 & -99
30.0 & 1.38   & VLA        & 20.0 & -99
32.9 & 1.38   & VLA        & 23.7 & -99
34.7 & 1.38   & VLA        & 23.9 & -99
36.8 & 1.38   & VLA        & 23.5 & -99
38.8 & 1.38   & VLA        & 25.2 & -99
40.0 & 1.38   & VLA        & 25.9 & -99
45.7 & 1.38   & VLA        & 28.9 & -99
51.7 & 1.38   & VLA        & 25.8 & -99
57.7 & 1.38   & VLA        & 19.7 & -99
64.7 & 1.38   & VLA        & 17.4 & -99
67.7 & 1.38   & VLA        & 17.4 & -99
80.5 & 1.38   & VLA        & 13.0 & -99
11.7 & 2.49   & VLA        & 19.7 & -99
14.6 & 2.49   & VLA        & 22.3 & -99
15.7 & 2.49   & VLA        & 23.5 & -99
16.5 & 2.49   & VLA        & 23.9 & -99
17.8 & 2.49   & VLA        & 25.1 & -99
19.7 & 2.49   & VLA        & 25.3 & -99
21.6 & 2.49   & VLA        & 20.9 & -99
23.6 & 2.49   & VLA        & 22.9 & -99
25.9 & 2.49   & VLA        & 28.0 & -99
26.8 & 2.49   & VLA        & 28.7 & -99
28.8 & 2.49   & VLA        & 31.1 & -99
30.0 & 2.49   & VLA        & 31.3 & -99
32.9 & 2.49   & VLA        & 27.3 & -99
34.7 & 2.49   & VLA        & 33.5 & -99
36.8 & 2.49   & VLA        & 31.8 & -99
38.8 & 2.49   & VLA        & 31.0 & -99
40.0 & 2.49   & VLA        & 31.3 & -99
45.7 & 2.49   & VLA        & 26.8 & -99
51.7 & 2.49   & VLA        & 23.1 & -99
57.7 & 2.49   & VLA        & 18.5 & -99
64.7 & 2.49   & VLA        & 15.6 & -99
67.7 & 2.49   & VLA        & 15.6 & -99
80.5 & 2.49   & VLA        & 9.6  & -99

