Mar 31.28   &  2.74  & EVLA & 1.4 & $<0.30$  
Apr 1.28    &  3.74  & EVLA & 1.4 & $<0.18$  
Mar 31.28   &  2.74  & EVLA & 1.8 & $<0.15$  
Apr 1.28    &  3.74  & EVLA & 1.8 & $<0.15$  
Mar 29.36   &  0.82  & EVLA & 4.9 & $0.25pm 0.01$  
Mar 30.25   &  1.71  & EVLA & 4.9 & $0.34pm 0.02$  
Mar 30.49   &  1.95  & EVLA & 4.9 & $0.34pm 0.02$  
Mar 31.28   &  2.74  & EVLA & 4.9 & $0.61pm 0.02$  
Apr 1.27    &  3.73  & EVLA & 4.9 & $0.82pm 0.02$  
Apr 2.26    &  4.72  & EVLA & 4.9 & $1.48pm 0.02$  
Apr 4.28    &  6.74  & EVLA & 4.9 & $1.47pm 0.02$  
Apr 9.47    &  11.93 & EVLA & 4.9 & $1.80pm 0.03$  
Apr 17.27   &  19.73 & EVLA & 4.9 & $2.11pm 0.01$  
Mar 29.36   &  0.82  & EVLA & 6.7 & $0.38pm 0.01$  
Mar 30.25   &  1.71  & EVLA & 6.7 & $0.63pm 0.02$  
Mar 30.49   &  1.95  & EVLA & 6.7 & $0.64pm 0.02$  
Mar 31.28   &  2.74  & EVLA & 6.7 & $1.16pm 0.02$  
Apr 1.27    &  3.73  & EVLA & 6.7 & $1.47pm 0.02$  
Apr 2.26    &  4.72  & EVLA & 6.7 & $1.50pm 0.02$  
Apr 4.28    &  6.74  & EVLA & 6.7 & $2.15pm 0.02$  
Apr 9.47    &  11.93 & EVLA & 6.7 & $3.79pm 0.03$  
Apr 17.27   &  19.73 & EVLA & 6.7 & $3.44pm 0.01$  
Apr 9.46    &  11.92  & EVLA & 8.4 & $5.49pm 0.09$  
Mar 31.33   &  2.79  & AMI-LA & 15.0 & $2.80pm 0.45$ 
Apr 1.18    &  3.65  & AMI-LA & 15.0 & $3.58pm 0.23$ 
Apr 2.16    &  4.62  & AMI-LA & 15.0 & $4.35pm 0.28$ 
Apr 3.10    &  5.56  & AMI-LA & 15.0 & $5.10pm 0.36$ 
Apr 4.10    &  6.56  & AMI-LA & 15.0 & $6.67pm 0.51$ 
Apr 5.33    &  7.79  & AMI-LA & 15.0 & $6.65pm 0.48$ 
