10.1 & SMA & 2020-10-20 & 230 & $<1.14$ 
13.0 & VLA & 2020-10-22 & 10 & $0.024 pm 0.006$ 
17.0 & VLA & 2020-10-27 & 10 & $<0.024$ 
17.8 & NOEMA & 2020-10-27 & 78.756 & $0.389 pm 0.059$
17.8 & NOEMA & 2020-10-27 & 94.244 & $0.304 pm 0.057$
18 & VLA & 2020-10-27 & 10 & $<0.051$ 
18 & VLA & 2020-10-27 & 6 & $<0.030$ 
18 & VLA & 2020-10-27 & 15 & $0.037pm0.010$ 
19.2 & ATCA & 2020-10-29 & 34 & $<0.108$
19.2 & ATCA & 2020-10-29 & 18 & $0.135pm0.040$
21.1 & SMA & 2020-10-31 & 230 & $<0.48$ 
23.8 & NOEMA & 2020-11-03 & 78.756 & $0.675 pm 0.047$
23.8 & NOEMA & 2020-11-03 & 94.244 & $0.634 pm 0.045$
25 & VLA & 2020-11-04 & 15 & $0.095pm0.011$ 
25 & VLA & 2020-11-04 & 10 & $0.057pm0.005$ 
25 & VLA & 2020-11-04 & 6 & $0.046pm0.006$ 
28.3 & ATCA & 2020-11-07 & 34 & $0.310pm0.020$
31.8 & NOEMA & 2020-11-10 & 78.756 & $1.076 pm 0.049$
31.8 & NOEMA & 2020-11-10 & 94.244 & $1.018 pm 0.044$
35.1 & SMA & 2020-11-14 & 230 & $<0.48$ 
36.9 & VLA & 2020-11-15 & 33 & $0.497pm0.011$ 
36.9 & VLA & 2020-11-15 & 45 & $0.675pm0.171$ 
36.9 & VLA & 2020-11-15 & 10 & $0.079pm0.010$ 
39.8 & NOEMA & 2020-11-18 & 78.756 & $0.912pm0.050$  
39.8 & NOEMA & 2020-11-18 & 94.244 & $0.825pm0.046$  
40.2 & ATCA & 2020-11-19 & 18 & $0.320pm0.060$ 
45.7 & NOEMA & 2020-11-24 & 78.756 & $0.822pm0.048$ 
45.7 & NOEMA & 2020-11-24 & 94.244 & $0.569pm0.042$  
45.7 & NOEMA & 2020-11-24 & 211.255 & $0.145pm0.048$ 
45.7 & NOEMA & 2020-11-24 & 226.744 & $<0.156$  
45.8 & NOEMA & 2020-11-25 & 130.872 & $0.317pm0.049$  
45.8 & NOEMA & 2020-11-25 & 146.361 & $0.179pm0.057$  
48.2 & ATCA & 2020-11-27 & 34 & $0.490pm0.040$ 
51.9 & VLA & 2020-11-30 & 10 & $0.154pm0.005$ 
51.9 & VLA & 2020-11-30 & 33 & $0.621pm0.132$ 
51.9 & VLA & 2020-11-30 & 45 & $0.668pm0.168$ 
67.6 & NOEMA & 2020-12-17 & 78.756 & $0.247pm0.037$ 
67.6 & NOEMA & 2020-12-17 & 94.244 & $<0.105$
67.7 & NOEMA & 2020-12-17 & 130.872 & $<0.213$
67.7 & NOEMA & 2020-12-17 & 146.361 & $<0.279$ 
71.9 & VLA & 2020-12-20 & 10 & $0.180pm0.023$ 
71.9 & VLA & 2020-12-20 & 15 & $0.401pm0.046$ 
71.9 & VLA & 2020-12-20 & 22 & $0.484pm0.010$ 
71.9 & VLA & 2020-12-20 & 33 & $0.450pm0.096$ 
71.9 & VLA & 2020-12-20 & 45 & $0.209pm0.063$ 
78 & ATCA & 2020-12-26 & 18 & $0.300pm0.035$
88 & NOEMA & 2021-01-06 & 130.872 & $<0.114$ 
88 & NOEMA & 2021-01-06 & 146.361 & $<0.120$ 
94 & VLA & 2021-01-12 & 10 & $0.168pm0.022$ 
94 & VLA & 2021-01-12 & 15 & $0.278pm0.032$ 
94 & VLA & 2021-01-12 & 22 & $0.301pm0.065$ 
94 & VLA & 2021-01-12 & 33 & $0.213pm0.048$ 
131 & VLA & 2021-02-18 & 6 & $0.117pm0.016$ 
131 & VLA & 2021-02-18 & 10 & $0.109pm0.010$ 
131 & VLA & 2021-02-18 & 15 & $0.122pm0.016$ 
131 & VLA & 2021-02-18 & 22 & $0.087pm0.020$ 
131 & VLA & 2021-02-18 & 33 & $<0.042$ 
